  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
59, 1.7782794100389227e-07, 2.5118864315095825e-05, 9.894690555795076e-10 , 2.2682767940865662e-14, 4.7745763980432477e-20, 5.433296976757367e-08 , 1.6988015909904163e-05, 0.0999658981249052, 0.1000000031975435, 1.4346824842864102e-14, 9.166577325022644e-16 , 0.0002464700284369, 1.87016430066164e-05 , 8.07552853194276e-06
60, 1e-07                 , 2.5118864315095825e-05, 2.514997474339953e-09 , 1.0267050922559639e-13, 3.848543195129722e-19 , 7.75499256875898e-08  , 1.361576387448663e-05 , 0.0999727708663339, 0.1000000031975435, 2.540398866761344e-15 , 2.8904910984448943e-16, 0.0002464700284368, 4.60737933698469e-06 , 1.1423037532606e-05
61, 5.6234132519034905e-08, 2.5118864315095825e-05, 5.3732107751356495e-09, 3.903921456475945e-13 , 2.6043989536318325e-18, 9.309249511199145e-08 , 9.183552069853106e-06 , 0.0999817648941554, 0.1000000031975435, 4.506201061642311e-16 , 9.125245048943378e-17 , 0.0002464700284366, -1.04914964954612e-05, 1.58368476316562e-05
62, 3.162277660168379e-08 , 2.5118864315095825e-05, 9.325569849547828e-09 , 1.2053040271352062e-12, 1.430388840004785e-17 , 9.082354876607312e-08 , 5.036575519389899e-06 , 0.0999902578941928, 0.1000000031975435, 8.004522078142513e-17 , 2.8835546543582e-17   , 0.0002464700284365, -2.4430890950301e-05 , 1.99821393286262e-05
63, 1.7782794100389228e-08, 2.5118864315095825e-05, 1.3414111675399913e-08, 3.0837050259098946e-12, 6.509058900495991e-17 , 7.345021606506702e-08 , 2.290008828814454e-06 , 0.0999960949873559, 0.1000000031975435, 1.4225199817102714e-17, 9.114728965895273e-18 , 0.0002464700284364, -3.53916901673996e-05, 2.27419884887662e-05
64, 1e-08                 , 2.5118864315095825e-05, 1.6968073731434566e-08, 6.940010875253654e-12 , 2.606283315306003e-16 , 5.222113015137032e-08 , 9.15108566315108e-07  , 0.099999444696722 , 0.1000000031975435, 2.5258389492556093e-18, 2.8794444064872324e-18, 0.0002464700284364, -4.35552890856475e-05, 2.41345597784952e-05
65, 9.999999999999999e-06 , 0.0001                , 1.8142827619239925e-12, 7.355717871721767e-19 , 2.7387465493883485e-26, 5.633992847151049e-09 , 9.962661785871212e-05 , 0.0997887502112682, 0.1000000031975435, 2.5950664409523083e-09, 2.931749444339303e-12 , 0.0002464700291693, 0.0001265622054524   , 3.67759083237618e-07
66, 5.623413251903491e-06 , 0.0001                , 5.706338241571995e-12 , 4.1143554156365774e-18, 2.724283898443392e-25 , 9.964238062614411e-09 , 9.907823289848772e-05 , 0.0997951141580249, 0.1000000031975435, 4.6139617520267047e-10, 9.269947011699349e-13 , 0.0002464700286681, 0.000107982843629    , 9.11809844678111e-07
67, 3.162277660168379e-06 , 0.0001                , 1.7873732797542787e-11, 2.2932124984141008e-17, 2.7019592890092023e-24, 1.7539455593497853e-08, 9.800859042961632e-05 , 0.0998002219269038, 0.1000000031975435, 8.188723944569234e-11 , 2.927558124921073e-13 , 0.0002464700285095, 8.96660998132076e-05 , 1.97386480823501e-06
68, 1.7782794100389227e-06, 0.0001                , 5.572243162896263e-11 , 1.272377439960685e-16 , 2.668124983605094e-23 , 3.0723636664071555e-08, 9.646323239182084e-05 , 0.0998049766743656, 0.1000000031975435, 1.4525817254487068e-11, 9.242481460005972e-14 , 0.0002464700284592, 7.19883162458477e-05 , 3.50600064240616e-06
